	1374	1455	3	881250949
	1304	1815	3	891717742
	156	2265	1	878887116
	1710	309	2	880606923
	1164	2079	1	886397596
	2088	2847	4	884182806
	807	1593	2	881171488
	1773	2793	5	891628467
	2137	2709	3	886324817
	44	519	3	883603013
	436	1545	2	879372434
	2004	6087	5	879781125
	1402	1335	5	876042340
	1472	243	3	891035994
	1570	177	3	888104457
	2123	4713	3	879485318
	856	2325	5	879270459
	1360	1647	2	879539794
	2039	6255	4	874834944
	1640	7107	2	892079237
	835	2355	4	886176814
	1171	2919	4	892738452
	2095	867	4	877881320
	2039	711	2	874833878
	2158	9	4	887736532
	667	3279	2	879196566
	268	573	5	892430094
	716	4611	2	883748450
	443	1665	4	875747401
	1122	1407	5	876861185
	352	1479	3	877052329
	2109	591	4	882075827
	1577	1161	4	879539727
	2032	531	4	880731963
	681	1167	3	884238860
	1101	1647	4	886890835
	1269	6489	1	878962623
	1948	3621	5	891295330
	1934	4779	1	874791932
	51	195	4	891350932
	72	99	4	877888877
	1990	1827	4	885329322
	1409	5877	2	884114233
	1934	3387	3	874791805
	2011	1965	5	875333916
	1724	1209	5	884921594
	1696	6825	5	879741196
	1745	1449	5	879641194
	695	27	5	886519097
	1248	1995	3	882823437
	1759	603	4	886271884
	569	2595	2	876535131
	1822	1935	4	890618898
	177	1089	5	885853415
	415	1179	5	888205088
	506	4077	2	880037164
	611	2307	4	879877127
	2032	861	5	880474293
	296	2541	5	881107687
	2046	3093	4	881103977
	807	123	3	881171009
	142	1731	1	879667584
	1409	1317	4	884112673
	93	3159	3	882141053
	1724	5517	4	884920949
	968	159	5	879024232
	1171	1395	1	892738341
	422	2565	5	883326620
	401	1827	5	883698581
	1563	1647	4	891550094
	1325	3075	4	893277702
	1703	93	3	879987440
	646	6297	1	890251826
	1724	2499	3	884923047
	1360	993	4	879546723
	1689	4143	2	887249482
	1248	1491	4	882823954
	1780	8667	3	886475558
	2053	33	3	888906576
	891	1377	5	884364867
	1577	1425	5	879539643
	2095	1377	3	878192429
	1577	2883	5	879540748
	1934	327	3	874791025
	2039	867	5	874835091
	1556	2199	4	878183381
	1871	3111	5	878971773
	296	2421	3	881108684
	79	669	4	891903862
	667	3753	4	888954412
	58	2031	4	879361873
	1136	153	4	877635573
	611	6099	4	879876194
	1955	927	5	875296291
	1017	1653	2	885557505
	835	6921	5	874781198
	436	2991	4	879373848
	436	2295	3	879375537
	198	1257	4	881961214
	947	141	4	879857765
	226	1767	3	883709863
	632	2295	5	891383835
	2004	1251	4	877531942
	2053	4113	3	888905170
	1514	867	4	880234639
	1164	1971	5	886397722
	1752	2979	4	878090499
	1899	795	5	885848672
	1122	1047	5	876860807
	1857	711	4	875320714
	1388	2991	3	884207492
	296	579	5	881107178
	1178	909	5	884288058
	772	1845	4	886987260
	408	867	4	884304936
	632	3891	4	891384754
	1899	2079	4	885844430
	436	129	3	879373460
	1955	4995	3	881375854
	1661	3087	4	879376641
	660	4737	4	891720887
	898	2913	3	879966895
	2088	1905	4	884182806
	310	1173	5	878347874
	1850	1203	5	886122352
	1360	2313	2	879524643
	506	1173	5	880037702
	1556	4503	5	883815120
	1752	1587	3	878089182
	289	1593	3	890687042
	1570	1473	3	888082216
	576	813	3	878769629
	1836	6885	4	879791710
	2053	2829	3	888904884
	1514	3951	3	880245029
	1752	843	3	878092059
	415	141	5	888205300
	2004	2277	5	877533771
	1710	4893	4	880605185
	51	2877	4	891352010
	1220	2211	1	886434402
	611	1647	4	879876734
	1360	7269	2	879551380
	576	6807	2	884714402
	93	5019	2	882139746
	93	1635	4	884538403
	1710	4539	2	880605157
	2137	2565	5	886323090
	667	4725	2	888954930
	303	87	2	883955745
	2095	5733	4	889502823
	401	2517	3	883698454
	590	2433	3	883452363
	1885	3027	4	891449922
	2095	669	3	877878184
	1360	2799	4	879525876
	1122	813	4	876860807
	695	1611	3	885678247
	72	2919	4	877886846
	1815	705	4	874724988
	597	2565	3	879456350
	2123	5517	4	879467295
	1493	1641	5	878870987
	849	3087	3	891387947
	632	591	5	891383204
	345	3357	2	888067405
	296	4767	3	881108425
	1087	1941	2	879371261
	478	705	4	876973939
	1206	1065	4	875537965
	135	27	4	885412840
	1878	1389	4	875744136
	37	15	3	875636053
	2137	705	2	886324028
	310	1767	4	883612356
	303	825	4	875975656
	1955	8019	1	875298353
	562	2799	5	887401701
	1780	987	4	886472768
	2088	1689	3	884183336
	1955	7443	1	892174404
	464	1791	4	883601324
	128	2661	3	880130193
	1878	6213	2	875542174
	695	477	4	885680138
	93	591	4	881515011
	184	1551	3	891347949
	51	2733	4	891353086
	1556	4533	4	878183481
	1402	4041	5	884128554
	835	1971	4	876923913
	1493	1035	5	878955442
	1934	1935	3	874786392
	660	7305	3	891723086
	912	2277	4	875801662
	268	1971	4	892428688
	1122	4317	3	876857977
	2053	7605	3	888906966
	184	5583	2	891385985
	912	1299	4	875216545
	646	6477	3	886443455
	1794	2715	4	882164999
	9	369	4	878542420
	506	291	4	880036718
	394	4533	3	892910207
	93	2163	4	882140926
	107	2433	2	879455957
	646	465	3	875654637
	1451	2859	2	884386343
	2046	1047	5	881105481
	1626	2901	5	888549622
	1759	4491	2	886272175
	1570	159	3	888104153
	1269	1323	4	878962392
	1815	1533	4	874724710
	2137	2829	4	886323648
	366	1683	3	882922806
	1129	1215	5	891170769
	1038	2451	5	877399018
	877	1413	2	892838559
	681	1371	5	884238860
	408	6591	4	884304936
	583	1407	4	887665548
	632	2085	4	891383319
	1906	1071	5	879455113
	1360	1089	3	879521396
	877	2871	4	879454628
	772	4131	1	886987605
	2095	87	4	877877775
	1059	63	5	879524921
	1885	765	4	891446165
	44	87	5	883599249
	380	639	3	880937882
	2123	417	5	879467542
	114	5667	1	877727122
	2109	4743	4	882078621
	1934	6549	3	874793035
	2137	1287	2	886323068
	1360	6171	2	879541148
	639	1941	2	891438397
	611	3327	4	879875940
	2060	657	4	877819599
	2004	1029	4	877531791
	1402	1911	5	884128458
	1605	1971	1	891632142
	1248	3411	4	882826555
	2123	5055	2	879484804
	436	393	4	879374686
	1451	3549	3	876018608
	646	1035	4	875653271
	2109	2409	4	882078040
	254	2037	5	882157581
	492	4479	3	884150257
	443	1455	3	875747190
	198	1209	3	881961671
	1955	411	4	875307407
	1752	45	4	878089716
	100	591	3	890881335
	2095	6111	3	889502324
	1360	327	3	879525876
